user_id,category,total,month
0354794f53a874c16eef7a10a67f8b96e47ec454,automotive,-13.12,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,automotive,-13.12,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,automotive,-13.12,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,cable,-36.53,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,cable,-36.53,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,cable,-36.53,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,groceries,-589.7800000000002,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,groceries,-457.03,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,groceries,-399.64,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,insurance,-36.03,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,insurance,-36.03,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,insurance,-36.03,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,loans,-145.41,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,loans,-145.41,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,loans,-145.41,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,mortgages,-460.02,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,mortgages,-460.02,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,mortgages,-460.02,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,paychecks,2553.0,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,paychecks,2553.0,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,paychecks,2553.0,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,restaurants,-18.32,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,restaurants,-58.41,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,restaurants,-77.12,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,service,-1.14,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,service,-1.14,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,service,-1.14,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,taxes,-96.0,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,taxes,-96.0,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,taxes,-96.0,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,telephone,-44.0,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,telephone,-44.0,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,telephone,-44.0,2021-05
0354794f53a874c16eef7a10a67f8b96e47ec454,utilities,-56.0,2021-03
0354794f53a874c16eef7a10a67f8b96e47ec454,utilities,-56.0,2021-04
0354794f53a874c16eef7a10a67f8b96e47ec454,utilities,-56.0,2021-05
051b40d545a7e3ff3133892e46821d73ce5a677b,groceries,-521.97,2021-03
051b40d545a7e3ff3133892e46821d73ce5a677b,groceries,-595.5899999999998,2021-04
051b40d545a7e3ff3133892e46821d73ce5a677b,groceries,-463.01,2021-05
051b40d545a7e3ff3133892e46821d73ce5a677b,insurance,-19.27,2021-03
051b40d545a7e3ff3133892e46821d73ce5a677b,insurance,-19.27,2021-04
051b40d545a7e3ff3133892e46821d73ce5a677b,insurance,-19.27,2021-05
051b40d545a7e3ff3133892e46821d73ce5a677b,mortgages,-1128.53,2021-03
051b40d545a7e3ff3133892e46821d73ce5a677b,mortgages,-1128.53,2021-04
051b40d545a7e3ff3133892e46821d73ce5a677b,mortgages,-1128.53,2021-05
051b40d545a7e3ff3133892e46821d73ce5a677b,paychecks,5537.305,2021-03
051b40d545a7e3ff3133892e46821d73ce5a677b,paychecks,5537.305,2021-04
051b40d545a7e3ff3133892e46821d73ce5a677b,paychecks,5537.305,2021-05
051b40d545a7e3ff3133892e46821d73ce5a677b,restaurants,-93.18,2021-03
051b40d545a7e3ff3133892e46821d73ce5a677b,restaurants,-138.78,2021-04
